fichier,n,ok,marge_max,prouvee,marge,cout,boites,sortie,temps,temps_phase1
2026-07-28-12,17,True,2.9448,False,0.5089,43.4747,6.7373,30,2.781949996948242,0.9571
2026-07-28-13,18,True,2.9136,False,0.5727,46.4147,10.2073,26,3.1352274417877197,0.9942
2026-07-28-14,16,True,3.8924,False,0.5149,35.06,6.03,23,2.5349183082580566,0.8733
2026-07-28-15,18,True,3.2919,False,0.5245,41.1947,6.0973,29,2.9163107872009277,1.0826
2026-07-28-16,14,True,5.1383,False,0.5028,36.6347,4.8173,27,2.267598867416382,0.7343
2026-07-28-17,15,True,5.257,False,0.6597,41.544,5.272,31,2.565873384475708,0.8054
2026-07-28-2,17,True,2.7347,False,0.7186,38.8773,8.4387,22,2.8499062061309814,0.9608
2026-07-28-3,15,True,3.9021,False,0.5771,32.5547,5.7773,21,2.8033504486083984,0.8344
2026-07-28-4,18,True,2.7055,False,0.512,50.8867,10.4433,30,2.773916006088257,1.0045
2026-07-28-5,19,True,2.8281,False,0.5949,53.3613,7.6807,38,3.3898403644561768,1.4615
2026-07-28-6,17,True,3.7413,False,0.5655,30.7,6.35,18,2.496364116668701,0.9042
2026-07-28-7,19,True,2.962,False,0.5165,47.684,8.342,31,2.6553070545196533,1.1088
2026-07-28-8,15,True,2.8471,False,0.5005,37.4413,6.7207,24,2.5166783332824707,0.7826
2026-07-28-9,16,True,2.651,False,0.5044,35.4627,7.7313,20,2.4056055545806885,0.8483
2026-07-29-3,9,True,6.6154,False,0.5488,21.3333,3.1667,15,2.312825918197632,0.6825
2026-07-29-4,14,True,4.2876,False,0.5604,37.5653,6.2827,25,2.353105068206787,0.8238
2026-07-29-5,16,True,3.7036,False,0.6099,30.2053,6.6027,17,2.3054449558258057,0.7523
2026-07-29-6,12,True,6.0699,False,0.5135,21.076,2.038,17,2.311457395553589,0.6597
2026-07-30-1,18,True,2.6083,False,0.5527,47.576,6.788,34,2.439718246459961,0.9348
2026-07-30-2,15,True,4.3734,False,0.6338,34.1613,6.0807,22,2.3707590103149414,0.8554
2026-07-30-3,15,True,4.4013,False,0.566,26.872,3.436,20,2.508958578109741,0.8954
2026-07-30-4,14,True,5.7224,False,0.5259,35.904,4.952,26,2.410144090652466,0.727
2026-07-30-5,18,True,3.0622,False,0.6826,46.372,8.186,30,2.4158236980438232,0.7614
2026-07-30-6,17,True,3.1638,False,0.5534,32.1627,4.5813,23,2.839930534362793,0.8423
2026-07-30-7,19,True,2.82,False,0.5363,53.7373,10.8687,32,3.5543956756591797,1.5919
